Ship Mode ,Segment,Total Revenue,AOV,Total Units,Customer Count
Standard Class,Consumer,$702378,$466.39,3031,398
Standard Class,Corporate,$401747,$449.89,1782,228
Standard Class,Home Office,$236706,$433.53,1046,148
Second Class,Consumer,$230126,$471.57,1003,284
First Class,Consumer,$158105,$406.44,755,248
Second Class,Corporate,$139045,$471.34,589,169
First Class,Corporate,$102580,$418.69,468,154
First Class,Home Office,$84887,$615.13,278,88
Second Class,Home Office,$80743,$501.51,310,92
Same Day,Consumer,$57452,$373.07,312,130
Same Day,Corporate,$45121,$777.95,114,56
Same Day,Home Office,$22645,$462.15,112,39
